"","","cl_lum","cl_den"
"710",1.521,1,4
"711",1.372,4,4
"712",2.553,3,3
"713",1.872,4,3
"714",2.319,4,4
"715",2.503,4,1
"716",2.296,5,4
"717",2.538,5,3
"718",2.979,4,2
"719",1.611,2,3
"720",2.436,3,2
"721",1.733,1,4
"722",1.319,3,4
"723",2.188,1,3
"724",1.096,4,5
"725",2.558,3,2
"726",1.657,1,4
"727",2.247,3,3
"728",2.278,3,3
"729",2.258,2,4
"730",1.18,1,5
"731",1.894,2,3
"732",1.303,1,3
"733",2.201,3,3
"734",1.21,4,4
"735",1.006,4,5
"736",1.639,4,3
"737",2.099,4,3
"738",2.513,4,2
"739",2.038,2,1
"740",2.444,4,3
"741",2.293,1,3
"742",1.499,4,5
"743",0.8667,1,5
"744",1.821,4,3
"745",1.566,2,3
"746",2.068,4,2
"747",2.277,5,4
"748",1.513,4,3
"749",2.119,1,2
"750",0.6743,2,4
"751",2.135,4,2
"752",1.789,1,3
"753",1.808,1,4
"754",2.498,4,3
"755",1.451,1,3
"756",1.628,2,3
"757",2.391,1,2
"758",1.141,4,4
"759",2.459,4,2
"760",1.441,4,4
"761",1.299,4,4
"762",1.726,4,3
"763",2.476,1,3
"764",2.234,2,2
"765",2.424,1,2
"766",2.315,4,3
"767",2.349,3,3
"768",1.036,3,4
"769",2.467,4,4
"770",1.502,4,4
"771",1.431,1,5
"772",1.106,4,4
"773",1.53,4,2
"774",1.402,3,4
"775",2.509,3,2
"776",2.063,1,4
"777",2.398,4,1
"778",1.037,4,4
"779",2.336,4,3
"780",1.867,4,3
"781",1.552,4,3
"782",2.538,4,1
"783",2.15,4,4
"784",2.163,3,2
"785",1.286,3,4
"786",2.276,2,2
"787",1.314,4,4
"788",2.565,4,2
"789",2.615,1,4
"790",2.239,4,3
"791",2.459,4,2
"792",1.323,4,4
"793",1.307,4,3
"794",1.335,3,3
"795",2.502,4,1
"796",2.233,4,3
"797",1.809,4,5
"798",2.238,4,3
"799",2.463,4,4
"800",1.723,5,4
"801",2.535,3,2
"802",1.505,3,3
"803",1.261,3,4
"804",2.348,1,2
"805",2.102,1,3
"806",1.036,3,5
"807",1.436,2,4
"808",1.583,2,1
"809",1.168,5,3
"810",1.717,5,4
"811",2.31,3,3
"812",1.862,2,3
"813",2.355,4,3
"814",1.292,3,5
"815",0.9972,3,5
"816",2.344,1,3
"817",1.282,4,5
"818",1.094,2,3
"819",2.694,2,5
"820",0.4077,3,3
"821",2.091,3,5
"822",1.292,4,3
"823",1.351,1,3
"824",1.847,2,3
"825",2.13,2,4
"826",2.162,2,3
"827",1.574,3,3
"828",1.697,2,3
"829",2.533,3,2
"830",1.851,3,3
"831",1.851,1,3
"832",1.787,2,3
"833",1.107,1,4
"834",1.348,2,4
"835",1.34,2,5
"836",1.969,2,4
"837",2.55,2,2
"838",1.497,3,3
"839",2.334,1,3
"840",2.004,4,4
"841",1.395,1,3
"842",2.348,2,2
"843",1.056,2,5
"844",1.914,2,3
"845",1.752,4,4
"846",2.185,3,4
"847",2.366,3,3
"848",1.572,1,2
"849",1.799,3,4
"850",2.173,1,2
"851",1.284,2,5
"852",2.427,2,3
"853",2.366,1,1
"854",1.515,3,4
"855",2.309,2,2
"856",0.985,4,4
"857",2.066,1,3
"858",1.789,1,4
"859",1.762,1,3
"860",1.415,2,3
